n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.86, err=5.437523405317688
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.87, err=5.440019972537761
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.88, err=5.447509674197978
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.89, err=5.447509674197978
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.9, err=5.45000624141805
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.91, err=5.457495943078268
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.92, err=5.45999251029834
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.93, err=5.464985644738485
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.9400000000000001, err=5.469978779178629
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.9500000000000001, err=5.472475346398702
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.96, err=5.472475346398702
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.97, err=5.469978779178629
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.98, err=5.469978779178629
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.99, err=5.472475346398702
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=1.0, err=5.472475346398702
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.01, err=5.859443265509924
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.02, err=5.794532517788042
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.03, err=5.777056547247534
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.04, err=5.754587442266883
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.05, err=5.702159530645363
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.06, err=5.677193858444639
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.07, err=5.519910123580077
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.08, err=5.355136687055299
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.09, err=5.3351641492947195
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.1, err=5.3301710148545745
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.11, err=5.32517788041443
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.12, err=5.380102359256023
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.13, err=5.367619523155661
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.14, err=5.380102359256023
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.15, err=5.3726126575958055
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.16, err=5.377605792035951
n=2, i=(0.9983000000000001, 0.0016999999999999238), a=0.17, err=5.38759206091624
